[# ERROR | 2023-03-08 | 22:48:28.575 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.669 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.778 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.871 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.980 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:29.073 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:29.181 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:29.275 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:29.368 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:29.476 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
